page,key,context,ko,en,ja,zh-CN,zh-TW,es
common,app_name,애플리케이션 이름,CWG,CWG,CWG,CWG,CWG,CWG
common,back,뒤로가기 버튼,뒤로,Back,戻る,返回,返回,Atrás
common,close,닫기 버튼,닫기,Close,閉じる,关闭,關閉,Cerrar
common,save,저장 버튼,저장,Save,保存,保存,保存,Guardar
common,cancel,취소 버튼,취소,Cancel,キャンセル,取消,取消,Cancelar
common,confirm,확인 버튼,확인,Confirm,確認,确认,確認,Confirmar
common,delete,삭제 버튼,삭제,Delete,削除,删除,刪除,Eliminar
common,edit,수정 버튼,수정,Edit,編集,编辑,編輯,Editar
common,search,검색,검색,Search,検索,搜索,搜索,Buscar
common,loading,로딩중,로딩중...,Loading...,読み込み中...,加载中...,載入中...,Cargando...
common,error,에러,오류가 발생했습니다,An error occurred,エラーが発生しました,发生错误,發生錯誤,Se produjo un error
common,success,성공,성공!,Success!,成功！,成功！,成功！,¡Éxito!
common,point,포인트,P,P,P,P,P,P
common,points,포인트 (복수),포인트,Points,ポイント,积分,積分,Puntos

lottery_selection,title,페이지 제목,복권 선택,Select Lottery,宝くじを選択,选择彩票,選擇彩票,Seleccionar Lotería
lottery_selection,subtitle,설명,참여하실 복권을 선택하세요,Select a lottery to participate,参加する宝くじを選択してください,选择您要参与的彩票,選擇您要參與的彩票,Seleccione una lotería para participar
lottery_selection,kr_lotto,한국 로또,한국 로또 6/45,Korea Lotto 6/45,韓国ロト6/45,韩国乐透6/45,韓國樂透6/45,Lotto Coreano 6/45
lottery_selection,jp_loto,일본 로또,일본 로토6,Japan Loto6,日本ロト6,日本乐透6,日本樂透6,Loto6 Japonés
lottery_selection,eu_euromillions,유로밀리언스,EuroMillions,EuroMillions,ユーロミリオンズ,欧洲百万,歐洲百萬,EuroMillones
lottery_selection,eu_eurojackpot,유로잭팟,Eurojackpot,Eurojackpot,ユーロジャックポット,欧洲大奖,歐洲大獎,Eurojackpot

bottom_nav,home,홈 탭,홈,Home,ホーム,主页,主頁,Inicio
bottom_nav,picks,픽 탭,픽생성,Picks,ピック,生成号码,生成號碼,Números
bottom_nav,championship,챔피언십 탭,챔피언십,Championship,チャンピオンシップ,锦标赛,錦標賽,Campeonato
bottom_nav,scan,스캔 탭,스캔,Scan,スキャン,扫描,掃描,Escanear
bottom_nav,my,마이 탭,MY,MY,MY,MY,MY,MY

home,greeting_guest,게스트 인사,낙첨 티켓을 스캔하고<br/>포인트를 적립하세요,Scan losing tickets and<br/>earn points,落選チケットをスキャンして<br/>ポイントを貯めましょう,扫描未中奖彩票<br/>积累积分,掃描未中獎彩票<br/>累積積分,Escanee tickets perdedores<br/>y acumule puntos
home,greeting_subtitle,게스트 설명,CWG 픽과 챔피언십으로 나만의 번호를 만들어보세요,Create your own numbers with CWG Picks and Championship,CWGピックとチャンピオンシップで自分の番号を作りましょう,使用CWG推荐和锦标赛创建您的号码,使用CWG推薦和錦標賽創建您的號碼,Cree sus propios números con Picks y Campeonato de CWG
home,start_free,무료 시작,무료로 시작하기 (+100P 보너스),Start Free (+100P Bonus),無料で始める（+100Pボーナス）,免费开始（+100P奖励）,免費開始（+100P獎勵）,Comenzar Gratis (+100P Bonus)
home,my_points,내 포인트,내 포인트,My Points,マイポイント,我的积分,我的積分,Mis Puntos
home,this_month_scans,이번달 스캔,이번 달 스캔,Scans This Month,今月のスキャン,本月扫描,本月掃描,Escaneos Este Mes
home,remaining,남은 횟수,남음,remaining,残り,剩余,剩餘,restantes
home,cwg_ranking,CWG 랭킹 섹션,CWG 랭킹,CWG Ranking,CWGランキング,CWG排行榜,CWG排行榜,Ranking CWG
home,winning_picks_ranking,당첨 픽 랭킹,내 당첨 픽 랭킹,My Winning Picks Ranking,私の当選ピックランキング,我的中奖号码排名,我的中獎號碼排名,Ranking de Mis Números Ganadores
home,view_all,전체보기,전체 보기,View All,すべて表示,查看全部,查看全部,Ver Todo
home,no_winning_picks,당첨 픽 없음,아직 당첨 픽이 없어요<br/>픽을 받고 당첨을 기다려보세요!,No winning picks yet<br/>Get picks and wait for results!,まだ当選ピックがありません<br/>ピックを取得して結果を待ちましょう！,还没有中奖号码<br/>获取号码并等待开奖！,還沒有中獎號碼<br/>獲取號碼並等待開獎！,Aún no hay números ganadores<br/>¡Obtenga números y espere los resultados!
home,go_to_picks,픽 보러가기,픽생성 보러가기,Go to Picks,ピックを見る,查看号码生成,查看號碼生成,Ir a Números
home,this_week_picks,이번주 픽,이번 주 CWG 픽,This Week's CWG Picks,今週のCWGピック,本周CWG推荐,本週CWG推薦,Picks CWG de Esta Semana
home,view_all_picks,전체 픽 보기,전체 픽 보기 (10세트),View All Picks (10 Sets),すべてのピックを見る（10セット）,查看所有号码（10组）,查看所有號碼（10組）,Ver Todos los Números (10 Sets)
home,unlock_picks,픽 열람,픽 열람하기,Unlock Picks,ピックを開く,解锁号码,解鎖號碼,Desbloquear Números
home,create_custom,나만의 번호,나만의 번호<br/>생성하기,Create Your<br/>Own Numbers,自分の番号を<br/>作成,创建您的<br/>号码,創建您的<br/>號碼,Crear Sus<br/>Propios Números
home,per_generation,생성당 비용,100P / 생성,100P / generation,100P / 生成,100P / 生成,100P / 生成,100P / generación
home,free_today,오늘 무료,오늘 1회 무료,1 Free Today,今日1回無料,今日1次免费,今日1次免費,1 Gratis Hoy
home,championship_cta,챔피언십 버튼,챔피언십 →,Championship →,チャンピオンシップ →,锦标赛 →,錦標賽 →,Campeonato →
home,this_draw_stats,이번 회차 통계,이번 회차 통계,This Draw Statistics,今回の抽選統計,本期开奖统计,本期開獎統計,Estadísticas de Este Sorteo
home,total_scans,총 스캔,총 스캔 수,Total Scans,総スキャン数,总扫描数,總掃描數,Escaneos Totales
home,hot_numbers,핫 번호,Hot,Hot,ホット,热门号码,熱門號碼,Calientes
home,cold_numbers,콜드 번호,Cold,Cold,コールド,冷门号码,冷門號碼,Fríos
