ID,팝업 이름,언제 뜨나요,어느 화면,팝업 종류,입력하는 것,버튼,동작,에러나면,참고사항
ONBOARD-01,로또 선택,앱 처음 실행했을 때 (로또 선택 안 한 사람),로그인 직후,모달,없음 (4개 로또 카드 보여줌),각 로또마다 [선택] 버튼,선택한 로또로 설정됨 → 홈으로 이동,에러 메시지 토스트,"필수 선택 (X 버튼 없음, 무조건 선택해야 함)"
ONBOARD-02,튜토리얼,온보딩 끝나고 or 마이 > 사용 가이드 클릭,온보딩 / 마이탭,풀스크린 (전체 화면),"없음 (스와이프로 넘김, 4단계)","[건너뛰기] [다음] [시작하기]",팝업 닫힘,없음,Swiper 슬라이드로 구현

PROMO-01,프로모션,홈 들어오고 0.8초 후 (하루 1번만),홈,모달,오늘 하루 보지 않기 체크박스,"[받기] [나중에]","받기 → 혜택 받음 + ""지급되었습니다"" 1.5초 표시 → 닫힘, 나중에 → 바로 닫힘",받기 실패하면 에러 토스트,"관리자가 만든 프로모션만 뜸, 대상 사용자만 (신규/FREE/전체)"
PROMO-02,쿠폰 입력,마이탭 > 쿠폰 입력 클릭,마이,모달,쿠폰 코드 입력창,"[취소] [등록]","등록 → 포인트 받음 + 잔액 업데이트 + 성공 토스트, 취소 → 닫힘","유효하지 않은 쿠폰, 이미 사용함, 만료됨",영문 대문자 자동 변환

SCAN-01,스캔 성공,스캔 완료 → 낙첨 확인됨,스캔,모달,없음,[확인],확인 → 포인트 받음 + 잔액 업데이트 + 닫힘,없음,"획득 포인트, 티어 배수, 광고 부스트 표시"
SCAN-02,광고 볼래요?,스캔 완료 (FREE/PRO만),스캔,모달,없음,"[광고 보고 추가 받기] [기본만 받기]","광고 보기 → 광고 SDK 실행 → 끝나면 부스트 포인트 지급, 기본만 → 기본 포인트만 받고 닫힘",없음,FREE: 1.5배 / PRO: 4.0배
SCAN-03,중복 티켓,스캔했는데 이미 등록된 티켓,스캔,토스트 (자동 사라짐),없음,없음,2초 후 자동 닫힘,없음,에러: 이미 등록된 티켓입니다
SCAN-04,당첨 티켓,스캔했는데 당첨된 티켓,스캔,모달,없음,[확인],닫힘,없음,에러: 당첨 티켓은 등록할 수 없습니다
SCAN-05,추첨 전,스캔했는데 아직 추첨 안 한 회차,스캔,모달,없음,[확인],닫힘,없음,에러: 추첨 결과가 발표되지 않았습니다
SCAN-06,한도 초과,오늘 30회 다 스캔함,스캔,모달,없음,"[확인] [구독하기]","확인 → 닫힘, 구독하기 → 구독 페이지 이동",없음,오늘 몇 회 남았는지 표시

PICKS-01,픽 보기 확인,픽 회차 클릭 (FREE만),픽생성,모달,없음,"[취소] [200P 사용]","200P 사용 → 포인트 차감 + 10개 픽 표시, 취소 → 닫힘",잔액 부족하면 에러,STANDARD/PRO는 무료 무제한
PICKS-02,포인트 부족,픽 보려는데 포인트 없음,픽생성,모달,없음,"[확인] [포인트샵]","확인 → 닫힘, 포인트샵 → 포인트샵 이동",없음,현재 잔액 표시

CHAMP-01,번호 생성 확인,챔피언십 > [번호 생성] 클릭,챔피언십,모달,없음,"[취소] [티켓 1개 사용]","사용 → 티켓 차감 + 생성된 번호 보여줌, 취소 → 닫힘",티켓 없으면 에러,"FREE/STANDARD: 100P, PRO: 1일 1회 무료 + 추가 50P"
CHAMP-02,티켓 부족,생성하려는데 티켓 없음,챔피언십,모달,없음,"[확인] [티켓 구매]","확인 → 닫힘, 티켓 구매 → 포인트샵 이동",없음,보유 티켓 수 표시
CHAMP-03,필터 너무 많음,필터 너무 많이 선택,챔피언십,토스트,없음,없음,2초 후 자동 닫힘,없음,에러: 필터 조건이 너무 많습니다
CHAMP-04,필터 안 골랐어요,필터 하나도 안 고르고 생성,챔피언십,토스트,없음,없음,2초 후 자동 닫힘,없음,에러: 필터를 최소 1개 이상 선택하세요

SUB-01,구독 필요 (픽),FREE가 픽 무제한 보려고 할 때,픽생성,모달,없음,"[취소] [구독하기]","취소 → 닫힘, 구독하기 → 구독 페이지 이동",없음,STANDARD 이상 필요
SUB-02,구독 필요 (챔피언십),FREE가 무료 티켓 다 쓸 때,챔피언십,모달,없음,"[취소] [구독하기]","취소 → 닫힘, 구독하기 → 구독 페이지 이동",없음,매일 무료는 PRO 전용
SUB-03,구독 결제,구독 페이지 > [구독하기] 클릭,구독,모달,없음,"[취소] [결제하기]","결제하기 → IAP 실행 → 성공하면 구독 활성화 + 티어 올라감, 취소 → 닫힘",결제 실패하면 에러 메시지,App Store / Google Play
SUB-04,구독 취소,구독 관리 > [구독 취소] 클릭,마이 > 구독 관리,모달,없음,"[돌아가기] [취소하기]","취소하기 → 자동 갱신 OFF (만료일까지는 유지) + 안내 메시지, 돌아가기 → 닫힘",에러 메시지,만료일까지는 혜택 그대로

POINT-01,포인트샵 구매,포인트샵 > 상품 클릭,포인트샵,모달,없음,"[취소] [구매]","구매 → 포인트 차감 + 상품 받음 (구독권/티켓) + 성공 메시지, 취소 → 닫힘",잔액 부족하면 에러,구독권은 바로 활성화됨

MY-01,로그아웃,마이 > 로그아웃 클릭,마이,모달,없음,"[취소] [로그아웃]","로그아웃 → 데이터 삭제 + 로그인 페이지 이동, 취소 → 닫힘",없음,없음
MY-02,회원탈퇴 1차,마이 > 회원탈퇴 클릭,마이,모달,없음,"[취소] [탈퇴하기]","탈퇴하기 → 2차 확인 팝업 뜸, 취소 → 닫힘",없음,경고 문구 보여줌
MY-03,회원탈퇴 2차,1차 확인 후,마이,모달,"""탈퇴하기"" 정확히 입력","[취소] [탈퇴]","탈퇴 → 계정 삭제 + 로그인 페이지 이동, 취소 → 닫힘",삭제 실패하면 에러,입력값 맞아야 버튼 활성화
MY-04,언어 변경,마이 > 언어 클릭,마이,바텀시트 (하단에서 올라옴),없음 (6개 언어 라디오),언어마다 선택,선택하면 바로 언어 바뀜 + 닫힘,없음,한국어/English/日本語/简体中文/繁體中文/Español
MY-05,로또 변경,마이 > 로또 변경 클릭,마이,모달,없음 (4개 로또 카드),"[취소] [변경]","변경 → 로또 바뀜 + 홈 새로고침 + 닫힘, 취소 → 닫힘",에러 메시지,선택한 로또로 전체 데이터 바뀜

ERROR-01,일반 에러,뭔가 잘못됨,어디서든,토스트,없음,없음,3초 후 자동 닫힘,없음,네트워크 오류 등
ERROR-02,계정 잠김,관리자가 계정 잠금,어디서든,모달,없음,[확인],확인 → 로그인 페이지 이동,없음,관리자 조치
ERROR-03,세션 만료,로그인 시간 지남,어디서든,모달,없음,[확인],확인 → 로그인 페이지 이동,없음,다시 로그인 필요

WINNER-01,당첨 축하,당첨됐을 때,홈/픽생성/챔피언십,모달,없음,[확인],닫힘,없음,"등수, 당첨금, 세금 빼고 받는 돈 표시"
